1,Unknown
2,AOS 19th / 20th
3,AOS Action
4,AOS Aesthetics
5,AOS African
6,AOS American (incl Latin American)
8,AOS Analytic (History of)
10,AOS Ancient
11,AOS Applied Ethics (incl Bio and Medical)
12,AOS Asian
13,AOS Biology (incl Environmental)
14,AOS Cognitive Science / Psychology / Neuroscience / Linguistics
15,AOS Comparative
16,AOS Continental (incl Phenomenology)
17,AOS Decision Theory
18,AOS Economics
19,AOS Education
20,AOS Epistemology
21,AOS Ethics
22,AOS Gender / Race / Sexuality / Disability Studies
23,AOS German (incl Kant)
24,AOS History (General)
25,AOS Language
26,AOS Law
27,AOS Logic
28,AOS Math
29,AOS Medieval / Renaissance
30,AOS Meta-Ethics
31,AOS Metaphilosophy (incl Experimental)
32,AOS Metaphysics
33,AOS Mind
34,AOS Modern
35,AOS Physics
36,AOS Religion
37,AOS Science (General)
38,AOS Social / Political
39,AOS Technology
40,AOS Value (General)
41,AOS Other